dataset,sample_id,run_accessions,r1_paths,r2_paths,n_runs,n_fastq_files,pilot_priority,queue_status,bismark_authorized,training_authorized,age_weeks,tissue,sex,intervention,fastq_gib
GSE80672,GSM2132755,SRR3440624,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440624_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440624_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,91.26,blood,M,CR,4.895174
GSE80672,GSM2132756,SRR3440625;SRR3440626,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440625_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440626_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440625_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440626_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,91.26,blood,M,CR,15.715146
GSE80672,GSM2132757,SRR3440627,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440627_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440627_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,91.26,blood,M,CR,4.524831
GSE80672,GSM2132758,SRR3440628,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440628_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440628_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,91.26,blood,M,CR,3.916536
GSE80672,GSM2132759,SRR3440629,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440629_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440629_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,91.26,blood,M,CR,3.246672
GSE80672,GSM2132760,SRR3440630;SRR3440631,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440630_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440631_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440630_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440631_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,91.26,blood,M,CR,9.864142
GSE80672,GSM2132734,SRR3440593,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440593_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440593_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,99.951,blood,M,CR,5.719384
GSE80672,GSM2132735,SRR3440594;SRR3440595,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440594_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440595_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440594_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440595_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,99.951,blood,M,CR,16.250372
GSE80672,GSM2132736,SRR3440596,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440596_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440596_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,99.951,blood,M,CR,2.930553
GSE80672,GSM2132737,SRR3440597,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440597_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440597_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,99.951,blood,M,CR,3.822711
GSE80672,GSM2132738,SRR3440598,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440598_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440598_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,99.951,blood,M,CR,6.949576
GSE80672,GSM2132739,SRR3440599,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440599_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440599_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,117.334,blood,M,CR,4.306863
GSE80672,GSM2132740,SRR3440600;SRR3440601,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440600_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440601_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440600_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440601_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,117.334,blood,M,CR,10.952485
GSE80672,GSM2132741,SRR3440602;SRR3440603,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440602_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440603_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440602_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440603_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,117.334,blood,M,CR,5.720781
GSE80672,GSM2132742,SRR3440604,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440604_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440604_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,117.334,blood,M,CR,4.651863
GSE80672,GSM2132743,SRR3440605;SRR3440606,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440605_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440606_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440605_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440606_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,117.334,blood,M,CR,10.175473
GSE80672,GSM2132761,SRR3440632;SRR3440633,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440632_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440633_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440632_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440633_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,117.334,blood,M,CR,12.467372000000001
GSE80672,GSM2132762,SRR3440634,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440634_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440634_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,117.334,blood,M,CR,5.613001
GSE80672,GSM2132763,SRR3440635;SRR3440636,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440635_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440636_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440635_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440636_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,117.334,blood,M,CR,10.146131
GSE80672,GSM2132764,SRR3440637;SRR3440638,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440637_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440638_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440637_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440638_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,117.334,blood,M,CR,8.720156
GSE80672,GSM2132765,SRR3440639,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440639_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440639_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,117.334,blood,M,CR,5.020492
GSE80672,GSM2132712,SRR3440565,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440565_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440565_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,2.912,blood,M,control,14.54627
GSE80672,GSM2132713,SRR3440566,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440566_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440566_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,2.912,blood,M,control,15.976099
GSE80672,GSM2132714,SRR3440567,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440567_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440567_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,2.912,blood,M,control,16.778466
GSE80672,GSM2132715,SRR3440568,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440568_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440568_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,2.912,blood,M,control,17.402365
