dataset,run_accession,sample_id,library_layout,fastq_count,mates_present,missing_mate,pairing_status,total_size_bytes,total_size_gib,local_paths
GSE120137,SRR7871653,GSM3394335,SINGLE,1,,,single_or_unknown,4242537862,3.951171,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871653.fastq
GSE120137,SRR7871654,GSM3394336,SINGLE,1,,,single_or_unknown,3637153642,3.387363,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871654.fastq
GSE120137,SRR7871655,GSM3394337,SINGLE,1,,,single_or_unknown,2690931020,2.506125,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871655.fastq
GSE120137,SRR7871656,GSM3394338,SINGLE,1,,,single_or_unknown,2753666424,2.564552,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871656.fastq
GSE120137,SRR7871657,GSM3394339,SINGLE,1,,,single_or_unknown,2302037402,2.143939,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871657.fastq
GSE120137,SRR7871658,GSM3394340,SINGLE,1,,,single_or_unknown,2827853966,2.633644,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871658.fastq
GSE120137,SRR7871659,GSM3394341,SINGLE,1,,,single_or_unknown,3861998280,3.596766,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871659.fastq
GSE120137,SRR7871675,GSM3394357,SINGLE,1,,,single_or_unknown,4794739342,4.465449,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871675.fastq
GSE120137,SRR7871676,GSM3394358,SINGLE,1,,,single_or_unknown,6468681834,6.024429,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871676.fastq
GSE120137,SRR7871677,GSM3394359,SINGLE,1,,,single_or_unknown,3450654286,3.213672,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871677.fastq
GSE120137,SRR7871678,GSM3394360,SINGLE,1,,,single_or_unknown,6576152842,6.12452,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871678.fastq
GSE120137,SRR7871679,GSM3394361,SINGLE,1,,,single_or_unknown,5966937994,5.557144,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871679.fastq
GSE120137,SRR7871681,GSM3394363,SINGLE,1,,,single_or_unknown,6892680774,6.419309,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871681.fastq
GSE120137,SRR7871682,GSM3394364,SINGLE,1,,,single_or_unknown,3934027482,3.663849,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871682.fastq
GSE120137,SRR7871683,GSM3394365,SINGLE,1,,,single_or_unknown,3160247340,2.94321,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871683.fastq
GSE120137,SRR7871687,GSM3394369,SINGLE,1,,,single_or_unknown,4205887366,3.917038,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871687.fastq
GSE120137,SRR7871688,GSM3394370,SINGLE,1,,,single_or_unknown,4112902078,3.830439,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871688.fastq
GSE120137,SRR7871689,GSM3394371,SINGLE,1,,,single_or_unknown,4290966704,3.996274,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871689.fastq
GSE120137,SRR7871691,GSM3394373,SINGLE,1,,,single_or_unknown,6423480382,5.982332,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871691.fastq
GSE120137,SRR7871693,GSM3394375,SINGLE,1,,,single_or_unknown,5988472898,5.5772,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871693.fastq
GSE120137,SRR7871694,GSM3394376,SINGLE,1,,,single_or_unknown,4644620252,4.32564,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871694.fastq
GSE120137,SRR7871695,GSM3394377,SINGLE,1,,,single_or_unknown,5229881094,4.870706,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871695.fastq
GSE120137,SRR7871696,GSM3394378,SINGLE,1,,,single_or_unknown,6529366478,6.080946,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871696.fastq
GSE120137,SRR7871697,GSM3394379,SINGLE,1,,,single_or_unknown,8972008844,8.355834,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871697.fastq
GSE120137,SRR7871698,GSM3394380,SINGLE,1,,,single_or_unknown,6568885404,6.117751,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871698.fastq
GSE120137,SRR7871699,GSM3394381,SINGLE,1,,,single_or_unknown,7521865886,7.005284,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871699.fastq
GSE120137,SRR7871700,GSM3394382,SINGLE,1,,,single_or_unknown,6549073430,6.0993,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871700.fastq
GSE120137,SRR7871701,GSM3394383,SINGLE,1,,,single_or_unknown,6296917416,5.864461,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871701.fastq
GSE120137,SRR7871702,GSM3394384,SINGLE,1,,,single_or_unknown,6690512332,6.231025,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871702.fastq
GSE120137,SRR7871703,GSM3394385,SINGLE,1,,,single_or_unknown,6461752686,6.017976,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871703.fastq
GSE120137,SRR7871704,GSM3394386,SINGLE,1,,,single_or_unknown,6375870732,5.937992,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871704.fastq
GSE120137,SRR7871705,GSM3394387,SINGLE,1,,,single_or_unknown,3618474918,3.369967,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871705.fastq
GSE120137,SRR7871706,GSM3394388,SINGLE,1,,,single_or_unknown,4333570426,4.035952,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871706.fastq
GSE120137,SRR7871707,GSM3394389,SINGLE,1,,,single_or_unknown,3579344832,3.333525,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871707.fastq
GSE120137,SRR7871708,GSM3394390,SINGLE,1,,,single_or_unknown,3491477454,3.251692,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871708.fastq
GSE120137,SRR7871709,GSM3394391,SINGLE,1,,,single_or_unknown,3970287304,3.697618,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871709.fastq
GSE120137,SRR7871710,GSM3394392,SINGLE,1,,,single_or_unknown,3632553552,3.383079,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871710.fastq
GSE120137,SRR7871711,GSM3394393,SINGLE,1,,,single_or_unknown,3620371926,3.371734,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871711.fastq
GSE120137,SRR7871712,GSM3394394,SINGLE,1,,,single_or_unknown,2850229474,2.654483,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871712.fastq
GSE120137,SRR7871713,GSM3394395,SINGLE,1,,,single_or_unknown,3890932204,3.623713,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871713.fastq
GSE120137,SRR7871714,GSM3394396,SINGLE,1,,,single_or_unknown,8283155824,7.71429,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871714.fastq
GSE120137,SRR7871715,GSM3394397,SINGLE,1,,,single_or_unknown,7922816118,7.378698,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871715.fastq
GSE120137,SRR7871717,GSM3394399,SINGLE,1,,,single_or_unknown,6260602774,5.830641,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871717.fastq
GSE120137,SRR7871718,GSM3394400,SINGLE,1,,,single_or_unknown,6080711356,5.663104,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871718.fastq
GSE120137,SRR7871719,GSM3394401,SINGLE,1,,,single_or_unknown,4405465316,4.102909,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871719.fastq
GSE120137,SRR7871720,GSM3394402,SINGLE,1,,,single_or_unknown,8536637420,7.950363,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871720.fastq
GSE120137,SRR7871722,GSM3394404,SINGLE,1,,,single_or_unknown,5592912454,5.208806,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871722.fastq
GSE120137,SRR7871723,GSM3394405,SINGLE,1,,,single_or_unknown,3013876638,2.806891,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871723.fastq
GSE120137,SRR7871724,GSM3394406,SINGLE,1,,,single_or_unknown,6270734636,5.840077,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871724.fastq
GSE120137,SRR7871725,GSM3394407,SINGLE,1,,,single_or_unknown,2459000840,2.290123,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871725.fastq
GSE120137,SRR7871726,GSM3394408,SINGLE,1,,,single_or_unknown,6320871662,5.88677,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871726.fastq
GSE120137,SRR7871728,GSM3394410,SINGLE,1,,,single_or_unknown,5259626724,4.898409,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871728.fastq
GSE120137,SRR7871729,GSM3394411,SINGLE,1,,,single_or_unknown,4393331466,4.091609,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871729.fastq
GSE120137,SRR7871730,GSM3394412,SINGLE,1,,,single_or_unknown,4639261208,4.320649,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871730.fastq
GSE120137,SRR7871731,GSM3394413,SINGLE,1,,,single_or_unknown,2371607500,2.208732,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871731.fastq
GSE120137,SRR7871732,GSM3394414,SINGLE,1,,,single_or_unknown,4149768410,3.864773,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871732.fastq
GSE120137,SRR7871733,GSM3394415,SINGLE,1,,,single_or_unknown,4268675526,3.975514,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871733.fastq
GSE120137,SRR7871734,GSM3394416,SINGLE,1,,,single_or_unknown,4766003176,4.438686,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871734.fastq
GSE120137,SRR7871735,GSM3394417,SINGLE,1,,,single_or_unknown,4166289908,3.88016,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871735.fastq
