dataset,run_accession,mate,file_name,local_path,size_bytes,size_gib,mtime_utc,is_gzip,raw_root
GSE80672,SRR3440608,2.0,SRR3440608_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440608_2.fastq,4615606188,4.298618,2026-05-04T05:05:30.187099+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440609,1.0,SRR3440609_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440609_1.fastq,2093542272,1.949763,2026-05-04T05:31:53.793363+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440609,2.0,SRR3440609_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440609_2.fastq,2093542272,1.949763,2026-05-04T05:31:53.852367+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440610,1.0,SRR3440610_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440610_1.fastq,3449959540,3.213025,2026-05-04T06:11:56.902840+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440610,2.0,SRR3440610_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440610_2.fastq,3449959540,3.213025,2026-05-04T06:11:56.888839+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440611,1.0,SRR3440611_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440611_1.fastq,2600680388,2.422072,2026-04-26T17:27:14.648326+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440611,2.0,SRR3440611_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440611_2.fastq,2600680388,2.422072,2026-04-26T17:27:14.659326+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440612,1.0,SRR3440612_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440612_1.fastq,3133297868,2.918111,2026-04-26T18:22:15.098373+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440612,2.0,SRR3440612_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440612_2.fastq,3133297868,2.918111,2026-04-26T18:22:15.117374+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440613,1.0,SRR3440613_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440613_1.fastq,2893202460,2.694505,2026-04-26T20:00:04.665356+00:00,False,/data/mouse_methyl/raw
