age_weeks,characteristics,dataset,intervention_guess,raw_age_token,raw_age_unit,sample_id,source_name,tissue_guess,title
17.383,cell type: Liver | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590470,Liver,liver,4 month Liver_B
52.149,cell type: Liver | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590471,Liver,liver,12 month Liver_A
52.149,cell type: Liver | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590472,Liver,liver,12 month Liver_B
104.297,cell type: Liver | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590473,Liver,liver,24 month Liver_A
104.297,cell type: Liver | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590474,Liver,liver,24 month Liver_B
17.383,cell type: Lung | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590475,Lung,lung,4 month Lung_A
17.383,cell type: Lung | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590476,Lung,lung,4 month Lung_B
52.149,cell type: Lung | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590477,Lung,lung,12 month Lung_A
52.149,cell type: Lung | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590478,Lung,lung,12 month Lung_B
104.297,cell type: Lung | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590479,Lung,lung,24 month Lung_A
104.297,cell type: Lung | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590480,Lung,lung,24 month Lung_B
17.383,cell type: Skeletal muscle | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590481,Skeletal muscle,skeletal_muscle,4 month Skeletal muscle_A
17.383,cell type: Skeletal muscle | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590482,Skeletal muscle,skeletal_muscle,4 month Skeletal muscle_B
52.149,cell type: Skeletal muscle | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590483,Skeletal muscle,skeletal_muscle,12 month Skeletal muscle_A
52.149,cell type: Skeletal muscle | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590484,Skeletal muscle,skeletal_muscle,12 month Skeletal muscle_B
104.297,cell type: Skeletal muscle | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590485,Skeletal muscle,skeletal_muscle,24 month Skeletal muscle_A
104.297,cell type: Skeletal muscle | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590486,Skeletal muscle,skeletal_muscle,24 month Skeletal muscle_B
17.383,cell type: Spleen | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590487,Spleen,spleen,4 month Spleen_A
17.383,cell type: Spleen | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590488,Spleen,spleen,4 month Spleen_B
17.383,cell type: Spleen | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590489,Spleen,spleen,4 month Spleen_C
