archive_or_file,available,content_type,dataset,filelist_error,filelist_size_bytes,filelist_time,filelist_type,head_error,http_status,remote_last_modified,remote_size_bytes,supplement_name,supplement_url
File,,,GSE213628,,17827988,09/19/2022 11:48:23,COV,,,,,GSM6590397_MU_gfp_neg_39a.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590397_MU_gfp_neg_39a.cov.gz
File,,,GSE213628,,19585978,09/19/2022 11:48:29,COV,,,,,GSM6590398_MU_gfp_neg_39b.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590398_MU_gfp_neg_39b.cov.gz
File,,,GSE213628,,32122544,09/19/2022 11:48:39,COV,,,,,GSM6590399_MC_gfp_neg_39a.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590399_MC_gfp_neg_39a.cov.gz
File,,,GSE213628,,41455452,09/19/2022 11:48:51,COV,,,,,GSM6590400_MC_gfp_neg_39b.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590400_MC_gfp_neg_39b.cov.gz
File,,,GSE213628,,25135686,09/19/2022 11:48:59,COV,,,,,GSM6590401_MC_gfp_pos_39a.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590401_MC_gfp_pos_39a.cov.gz
File,,,GSE213628,,27579082,09/19/2022 11:49:07,COV,,,,,GSM6590402_MC_gfp_pos_39b.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590402_MC_gfp_pos_39b.cov.gz
File,,,GSE213628,,58112691,09/19/2022 11:49:25,COV,,,,,GSM6590403_NL_gfp_neg_60a.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590403_NL_gfp_neg_60a.cov.gz
File,,,GSE213628,,49505476,09/19/2022 11:49:40,COV,,,,,GSM6590404_NL_gfp_neg_60b.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590404_NL_gfp_neg_60b.cov.gz
File,,,GSE213628,,35838892,09/19/2022 11:49:51,COV,,,,,GSM6590405_NL_gfp_pos_60a.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590405_NL_gfp_pos_60a.cov.gz
File,,,GSE213628,,46718148,09/19/2022 11:50:05,COV,,,,,GSM6590406_NL_gfp_pos_60b.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590406_NL_gfp_pos_60b.cov.gz
File,,,GSE213628,,34481650,09/19/2022 11:50:16,COV,,,,,GSM6590407_NU_gfp_neg_60a.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590407_NU_gfp_neg_60a.cov.gz
File,,,GSE213628,,47327093,09/19/2022 11:50:30,COV,,,,,GSM6590408_NU_gfp_neg_60b.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590408_NU_gfp_neg_60b.cov.gz
File,,,GSE213628,,48007311,09/19/2022 11:50:45,COV,,,,,GSM6590409_NU_gfp_pos_60a.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590409_NU_gfp_pos_60a.cov.gz
File,,,GSE213628,,45300002,09/19/2022 11:50:59,COV,,,,,GSM6590410_NU_gfp_pos_60b.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590410_NU_gfp_pos_60b.cov.gz
File,,,GSE213628,,42972779,09/19/2022 11:51:11,COV,,,,,GSM6590411_NC_gfp_neg_60a.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590411_NC_gfp_neg_60a.cov.gz
File,,,GSE213628,,33011102,09/19/2022 11:51:21,COV,,,,,GSM6590412_NC_gfp_neg_60b.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590412_NC_gfp_neg_60b.cov.gz
File,,,GSE213628,,45232884,09/19/2022 11:51:40,COV,,,,,GSM6590413_NC_gfp_pos_60a.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590413_NC_gfp_pos_60a.cov.gz
File,,,GSE213628,,49761383,09/19/2022 11:51:56,COV,,,,,GSM6590414_NC_gfp_pos_60b.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590414_NC_gfp_pos_60b.cov.gz
File,,,GSE213628,,24761517,09/19/2022 11:52:03,COV,,,,,GSM6590415_OL_gfp_neg_24B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590415_OL_gfp_neg_24B.cov.gz
File,,,GSE213628,,26353456,09/19/2022 11:52:11,COV,,,,,GSM6590416_OL_gfp_neg_34B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590416_OL_gfp_neg_34B.cov.gz
File,,,GSE213628,,16114064,09/19/2022 11:52:16,COV,,,,,GSM6590417_OL_gfp_pos_24B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590417_OL_gfp_pos_24B.cov.gz
File,,,GSE213628,,20752634,09/19/2022 11:52:23,COV,,,,,GSM6590418_OL_gfp_pos_34B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590418_OL_gfp_pos_34B.cov.gz
File,,,GSE213628,,18505392,09/19/2022 11:52:28,COV,,,,,GSM6590419_OU_gfp_neg_24B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590419_OU_gfp_neg_24B.cov.gz
File,,,GSE213628,,35811403,09/19/2022 11:52:39,COV,,,,,GSM6590420_OU_gfp_neg_34B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590420_OU_gfp_neg_34B.cov.gz
